reference_date,secondary_date,source,component_id
2024-06-27,2024-07-09,AUTOMATED,5
2025-03-06,2025-03-18,AUTOMATED,7
2025-06-22,2025-07-04,AUTOMATED,8
2025-02-15,2025-02-27,AUTOMATED,3
2025-08-14,2025-08-26,AUTOMATED,9
2026-08-16,2026-08-28,AUTOMATED,11
2025-01-08,2025-01-20,AUTOMATED,6
2025-07-31,2025-08-12,AUTOMATED,1
2025-12-10,2025-12-22,AUTOMATED,10
2024-01-11,2024-01-23,NETWORK_EXTENSION,2
2024-01-23,2024-02-16,NETWORK_EXTENSION,2
2024-01-11,2024-02-04,NETWORK_EXTENSION,2
2025-02-27,2025-03-11,NETWORK_EXTENSION,3
2025-02-03,2025-02-27,NETWORK_EXTENSION,3
2025-02-15,2025-03-11,NETWORK_EXTENSION,3
2025-07-19,2025-07-31,NETWORK_EXTENSION,1
2025-07-31,2025-08-24,NETWORK_EXTENSION,1
2025-07-19,2025-08-12,NETWORK_EXTENSION,1
2025-08-12,2025-09-05,NETWORK_EXTENSION,1
2024-01-23,2024-02-04,DEVELOPMENT,2
2024-05-10,2024-06-03,DEVELOPMENT,4
2024-06-03,2024-06-15,DEVELOPMENT,4
