reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,2024-01-11,2024-01-23,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,CANDIDATE
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-11,2024-02-04,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-23,2024-02-04,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2__S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,CANDIDATE
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-01-23,2024-02-16,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2__S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,CANDIDATE
S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-02-04,2024-02-16,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD__S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,CANDIDATE
S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,2024-02-04,2024-02-28,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD__S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,CANDIDATE
S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,2024-02-16,2024-02-28,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649__S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,CANDIDATE
S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D,2024-02-16,2024-03-11,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649__S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D,CANDIDATE
S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D,2024-02-28,2024-03-11,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945__S1A_IW_SLC__1SDV_20240311T121314_20240311T121341_052934_06684D_806D,CANDIDATE
S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945,S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1,2024-02-28,2024-03-23,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240228T121314_20240228T121341_052759_066257_9945__S1A_IW_SLC__1SDV_20240323T121314_20240323T121341_053109_066ED6_BBE1,CANDIDATE
