reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status,connectivity_type,connectivity_rank
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,2024-01-11,2024-01-23,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,1
S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-02-04,2024-02-16,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD__S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,2
S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-05-22,2024-06-03,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A__S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,3
S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,2024-07-09,2024-07-21,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26__S1A_IW_SLC__1SDV_20240721T121313_20240721T121340_054859_06AE5A_D9A9,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,4
S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834,S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,2025-02-22,2025-03-06,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250222T121307_20250222T121334_058009_072921_3834__S1A_IW_SLC__1SDV_20250306T121307_20250306T121334_058184_07304E_4C3E,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,5
S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE,S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,2025-03-18,2025-03-30,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250318T121307_20250318T121334_058359_073734_A8BE__S1A_IW_SLC__1SDV_20250330T121308_20250330T121335_058534_073E33_B66F,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,6
S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74,S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,2025-07-04,2025-07-16,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250704T121305_20250704T121332_059934_0771E8_4C74__S1A_IW_SLC__1SDV_20250716T121304_20250716T121331_060109_0777EA_58DD,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,7
S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7,S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,2025-06-10,2025-06-22,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20250610T121306_20250610T121333_059584_0765C2_47C7__S1A_IW_SLC__1SDV_20250622T121306_20250622T121333_059759_076BCC_C660,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,8
S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,2025-02-27,2025-03-11,12.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0__S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,9
S1D_IW_SLC__1SDV_20260804T122024_20260804T122051_003976_00737A_7892,S1D_IW_SLC__1SDV_20260816T122025_20260816T122052_004151_007980_8064,2026-08-04,2026-08-16,12.0,ASCENDING,85,S1D_IW_SLC__1SDV_20260804T122024_20260804T122051_003976_00737A_7892__S1D_IW_SLC__1SDV_20260816T122025_20260816T122052_004151_007980_8064,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,10
S1A_IW_SLC__1SDV_20250826T122110_20250826T122137_060707_078DF4_9818,S1A_IW_SLC__1SDV_20250907T122111_20250907T122138_060882_0794E5_21D9,2025-08-26,2025-09-07,12.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250826T122110_20250826T122137_060707_078DF4_9818__S1A_IW_SLC__1SDV_20250907T122111_20250907T122138_060882_0794E5_21D9,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,11
S1A_IW_SLC__1SDV_20250802T122110_20250802T122137_060357_078073_F958,S1A_IW_SLC__1SDV_20250814T122110_20250814T122137_060532_07870F_58A9,2025-08-02,2025-08-14,12.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250802T122110_20250802T122137_060357_078073_F958__S1A_IW_SLC__1SDV_20250814T122110_20250814T122137_060532_07870F_58A9,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,12
S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D,S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,2025-02-03,2025-02-15,12.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D__S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,13
S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A,S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,2025-07-19,2025-07-31,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A__S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,14
