reference_scene,secondary_scene,reference_date,secondary_date,temporal_baseline_days,orbit_direction,relative_orbit,pair_key,selection_status,connectivity_type,connectivity_rank,network_selection,network_rank,temporal_days_checked,temporal_valid,reference_scene_found,secondary_scene_found,reference_relative_orbit,secondary_relative_orbit,reference_orbit_direction,secondary_orbit_direction,track_valid,perpendicular_baseline_m,baseline_quality,geometry_status,validation_status
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,2024-01-11,2024-01-23,12.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,1,SELECTED_EXTENSION,1,12,True,True,True,,,,,True,-77.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2,S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,2024-01-23,2024-02-16,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240123T121315_20240123T121341_052234_065093_F3A2__S1A_IW_SLC__1SDV_20240216T121314_20240216T121341_052584_065C6B_0649,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,31,SELECTED_EXTENSION,2,24,True,True,True,,,,,True,-66.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139,S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,2024-01-11,2024-02-04,24.0,ASCENDING,12,S1A_IW_SLC__1SDV_20240111T121315_20240111T121342_052059_064AA5_7139__S1A_IW_SLC__1SDV_20240204T121314_20240204T121341_052409_06567F_3AFD,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,32,SELECTED_EXTENSION,3,24,True,True,True,,,,,True,-80.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,2025-02-27,2025-03-11,12.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0__S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,9,SELECTED_EXTENSION,1,12,True,True,True,,,,,True,-39.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D,S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,2025-02-03,2025-02-27,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250203T122114_20250203T122141_057732_071DEE_864D__S1A_IW_SLC__1SDV_20250227T122113_20250227T122140_058082_072C12_AAC0,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,34,SELECTED_EXTENSION,2,24,True,True,True,,,,,True,48.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999,S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,2025-02-15,2025-03-11,24.0,ASCENDING,85,S1A_IW_SLC__1SDV_20250215T122113_20250215T122140_057907_0724F0_9999__S1A_IW_SLC__1SDV_20250311T122113_20250311T122140_058257_07332C_6F6B,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,35,SELECTED_EXTENSION,3,24,True,True,True,,,,,True,-36.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A,S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,2025-07-19,2025-07-31,12.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A__S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,14,SELECTED_EXTENSION,1,12,True,True,True,,,,,True,-10.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884,S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,2025-07-31,2025-08-24,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250731T000430_20250731T000457_060320_077F24_0884__S1A_IW_SLC__1SDV_20250824T000427_20250824T000454_060670_078C7D_577D,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,43,SELECTED_EXTENSION,2,24,True,True,True,,,,,True,-7.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A,S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,2025-07-19,2025-08-12,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250719T000428_20250719T000455_060145_077923_2E2A__S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,44,SELECTED_EXTENSION,3,24,True,True,True,,,,,True,-8.0,GOOD,PASS,APPROVED
S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E,S1A_IW_SLC__1SDV_20250905T000427_20250905T000454_060845_07936C_92C3,2025-08-12,2025-09-05,24.0,DESCENDING,48,S1A_IW_SLC__1SDV_20250812T000427_20250812T000454_060495_07859A_435E__S1A_IW_SLC__1SDV_20250905T000427_20250905T000454_060845_07936C_92C3,CONNECTIVITY_CANDIDATE,EXTEND_NETWORK,45,SELECTED_EXTENSION,4,24,True,True,True,,,,,True,-94.0,GOOD,PASS,APPROVED
