scene_id,acquisition_date,orbit_direction,relative_orbit,polarization,product_type,aoi_coverage,selected,status,notes
S1A_IW_SLC__1SDV_20251224T122106_20251224T122133_062457_07D32E_2FEE,2025-12-24T12:21:06Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251222T000423_20251222T000450_062420_07D1C5_3038,2025-12-22T00:04:23Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251219T121301_20251219T121328_062384_07D068_51F4,2025-12-19T12:13:01Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251212T122108_20251212T122135_062282_07CC69_C175,2025-12-12T12:21:08Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251210T000425_20251210T000452_062245_07CB00_5C61,2025-12-10T00:04:25Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251207T121302_20251207T121329_062209_07C996_A414,2025-12-07T12:13:02Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251130T122109_20251130T122136_062107_07C58F_EC4A,2025-11-30T12:21:09Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251128T000426_20251128T000453_062070_07C422_5457,2025-11-28T00:04:26Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251125T121303_20251125T121330_062034_07C2B8_6379,2025-11-25T12:13:03Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251118T122110_20251118T122137_061932_07BEC4_925A,2025-11-18T12:21:10Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251116T000427_20251116T000454_061895_07BD4A_BB85,2025-11-16T00:04:27Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251113T121304_20251113T121331_061859_07BBE8_83FD,2025-11-13T12:13:04Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251106T122111_20251106T122138_061757_07B7F5_F92D,2025-11-06T12:21:11Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251104T000427_20251104T000454_061720_07B682_6FB3,2025-11-04T00:04:27Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251101T121305_20251101T121332_061684_07B527_F422,2025-11-01T12:13:05Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251025T122111_20251025T122138_061582_07B10C_0F5E,2025-10-25T12:21:11Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251023T000428_20251023T000455_061545_07AF94_EDE6,2025-10-23T00:04:28Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251020T121305_20251020T121332_061509_07AE20_FB9F,2025-10-20T12:13:05Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251013T122111_20251013T122138_061407_07AA07_2387,2025-10-13T12:21:11Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251011T000428_20251011T000455_061370_07A889_C192,2025-10-11T00:04:28Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251008T121305_20251008T121332_061334_07A71B_1C68,2025-10-08T12:13:05Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20251001T122111_20251001T122138_061232_07A2FE_28FE,2025-10-01T12:21:11Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20250929T000427_20250929T000454_061195_07A17C_55CF,2025-09-29T00:04:27Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20250926T121305_20250926T121332_061159_07A00D_EA1B,2025-09-26T12:13:05Z,ASCENDING,12,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20250919T122111_20250919T122138_061057_079BEA_6724,2025-09-19T12:21:11Z,ASCENDING,85,VV+VH,SLC,YES,NO,AVAILABLE,
S1A_IW_SLC__1SDV_20250917T000427_20250917T000454_061020_079A6F_8A11,2025-09-17T00:04:27Z,DESCENDING,48,VV+VH,SLC,YES,NO,AVAILABLE,
